state	number_errors	error_type	errors	admin_group	nodename	device_type	is_vm	port:hostname	port:dhcp	port:ip_address	port:mac_address	user:id	user:username	user:directorate	custodian:id	custodian:username	owner	os:name	os:version	manufacturer	model	serial	PC	PO	location:building	location:room	location:rack	location:ru	cpu:cores	memory	disk:capacity	warranty:start	warranty:end	updated_at	strategy	number sources	sources
okay	0	-	-	-	LZCTRL-ADAM-RD	computer	-	LZCTRL-ADAM-RD	-	172.21.102.14	00:d0:c9:f2:36:1a	-	-	-	-	-	-	builtin	-	-	-	-	-	-	B620	100	-	-	-	-	-	-	-	2016-06-15 17:26:23
okay	0	-	-	-	RTRG-B420-PUBLIC	computer	-	RTRG-B420-PUBLIC	-	134.79.61.1	00:07:b4:00:3e:02	205990	antony	Director's Office	-	-	-	builtin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2016-06-15 17:26:39
okay	0	-	-	-	ORANGE002	server	-	ORANGE002	-	172.23.46.42	00:16:36:e0:86:6c	86649	marshall	Science Directorate	-	-	-	Redhat Enterprise Linux	6.8	Sun Microsystems	X2200	0707QAT049	PC74842	-	B050	210	2AH07	33	8	32107	0	-	-	2016-06-15 17:22:56
okay	0	-	-	-	ORANGE002	server	-	SP-ORANGE002	-	172.20.5.142	00:16:36:e0:90:7a	86649	marshall	Science Directorate	-	-	-	Redhat Enterprise Linux	6.8	Sun Microsystems	X2200	0707QAT049	PC74842	-	B050	210	2AH07	33	8	32107	0	-	-	2016-06-15 17:22:56
okay	0	-	-	-	BHPC	computer	-	BHPC	-	134.79.34.150	00:13:d4:6a:3e:17	136824	samuil	SSRL Directorate	-	-	-	Microsoft Windows	-	-	-	-	-	-	B137W	311	-	-	-	-	-	-	-	2016-06-15 17:20:00
okay	0	-	-	-	FAC-PM-SECT21-COL32-POWERSMITH	computer	-	FAC-PM-SECT21-COL32-POWERSMITH	-	172.25.129.203	00:90:e8:19:84:64	156825	rafael	Director's Office	-	-	-	builtin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2016-06-15 17:26:33
okay	0	-	-	-	041-1158-SX80	computer	-	041-1158-SX80	-	172.25.88.72	a8:9d:21:48:94:c8	-	-	-	-	-	-	Cisco IOS	-	Cisco Systems	Telepresence SX80	-	-	-	B041	1158	-	-	-	-	-	-	-	2016-06-15 17:26:39
okay	0	-	-	-	BBR-LTDA-VM1099	computer	-	BBR-LTDA-VM1099	-	172.23.132.84	52:54:00:5d:10:99	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 07:30:24
okay	0	-	-	-	BBR-LTDA-VM1098	computer	-	BBR-LTDA-VM1098	-	172.23.132.83	52:54:00:5d:10:98	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 07:20:12
okay	0	-	-	-	BBR-LTDA-VM1097	computer	-	BBR-LTDA-VM1097	-	172.23.132.82	52:54:00:5d:10:97	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 07:03:11
okay	0	-	-	-	BBR-LTDA-VM1096	computer	-	BBR-LTDA-VM1096	-	172.23.132.81	52:54:00:5d:10:96	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 07:11:46
okay	0	-	-	-	SWH-CGB1BI21	switch	-	SWH-CGB1BI21	-	172.18.208.55	00:1f:26:05:92:41	205990	antony	Director's Office	-	-	-	Cisco IOS	-	Cisco Systems	WS-C2960-48TT-L	FOC1151X4LK	PC77440	-	B050	116	1BI21	36	-	-	-	-	-	2016-06-15 17:23:51
okay	0	-	-	-	BBR-LTDA-VM1094	computer	-	BBR-LTDA-VM1094	-	172.23.132.79	52:54:00:5d:10:94	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 12:33:10
okay	0	-	-	-	BBR-LTDA-VM1093	computer	-	BBR-LTDA-VM1093	-	172.23.132.78	52:54:00:5d:10:93	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 12:33:10
okay	0	-	-	-	BBR-LTDA-VM1092	computer	-	BBR-LTDA-VM1092	-	172.23.132.77	52:54:00:5d:10:92	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 12:33:10
okay	0	-	-	-	BBR-LTDA-VM1091	computer	-	BBR-LTDA-VM1091	-	172.23.132.76	52:54:00:5d:10:91	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 12:42:42
okay	0	-	-	-	BBR-LTDA-VM1090	computer	-	BBR-LTDA-VM1090	-	172.23.132.75	52:54:00:5d:10:90	379344	fransham	Science Directorate	-	-	-	builtin	-	-	-	-	-	-	B050	-	-	-	-	-	-	-	-	2016-04-20 12:33:10
okay	0	-	-	-	AR-FENGZ	computer	-	AR-FENGZ	-	134.79.188.114	00:23:ae:aa:9b:7e	296619	zhoufeng	Accelerator Directorate	-	-	-	Redhat Enterprise Linux	5.11	Dell	Precision T7400	85BDJL1	PC82074	-	B052	115B36	-	-	8	16052	0	-	-	2016-06-15 17:26:39
okay	0	-	-	-	SSRL-PC93195	computer	-	SSRL-PC93195	-	134.79.34.237	64:00:6a:6b:e9:c1	326402	pgrunow	SSRL Directorate	-	-	-	Microsoft Windows	-	Dell	Precision T1700	1BGW082	PC93195	PO159887	B137E	111	-	-	-	-	-	-	-	2016-06-14 21:58:44
bad	1	local	*PC*: {u'PC93196': ['post'], u'PC03196': [u'netdb']}	-	SSRL-PC93196	computer	-	SSRL-PC93196	-	134.79.34.227	64:00:6a:6b:e9:8e	7048	nalls	SSRL Directorate	-	-	-	Microsoft Windows	-	Dell	Precision T1700	-	PC93196; PC03196	-	B137E	106	-	-	-	-	-	-	-	2016-06-15 17:20:00
okay	0	-	-	-	FACET-SRV20	computer	-	FACET-SRV20	-	172.27.72.28	90:b1:1c:3c:91:d5	442755	divekar	Accelerator Directorate	-	-	-	Redhat Enterprise Linux	-	-	-	-	-	-	B005	112	-	-	-	-	-	-	-	2016-06-15 17:22:06
okay	0	-	-	-	FACET-SRV20	computer	-	FACET-SRV20-MGT	-	172.27.71.22	e0:db:55:1e:71:26	442755	divekar	Accelerator Directorate	-	-	-	Redhat Enterprise Linux	-	-	-	-	-	-	B005	112	-	-	-	-	-	-	-	2016-06-15 17:22:06
okay	0	-	-	-	RTRG-B055-SITESEC-CTRL	computer	-	RTRG-B055-SITESEC-CTRL	-	172.25.242.1	00:00:0c:07:ac:74	205990	antony	Director's Office	-	-	-	builtin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2016-06-15 17:22:37
okay	0	-	-	-	METSD-PC91563	computer	-	METSD-PC91563	-	134.79.216.9	34:17:eb:b3:78:d9	95745	sda	Accelerator Directorate	-	-	-	Microsoft Windows	-	Dell	OptiPlex 7010	87VPX12	PC91563	PO128872	B026	107	-	-	-	-	-	-	-	2016-06-15 17:22:17
